acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label
0.5551597,-64.8098,173,1.1532183,-95.0236,115,1
0.804168,-61.9148,174,-0.66457045,-97.4161,115,1
0.2904513,-61.9148,174,-0.49711877,-97.4161,115,1
1.0429595,-58.1601,175,0.5715747,-95.3584,112,1
-0.2013303,-58.1601,175,0.36313686,-95.3584,112,1
0.892622,-54.9467,176,0.3142636,-94.2271,109,1
-1.7470468,-54.9467,176,0.27055216,-94.2271,109,1
0.08277941,-54.6487,177,-0.3092772,-95.3405,110,1
0.032948017,-54.6487,177,-1.9417748,-95.3405,110,1
0.9271461,-51.3110,178,-1.4232775,-100.4643,113,1
-1.0612316,-51.3110,178,-3.7307277,-100.4643,113,1
-0.26792884,-52.2755,179,-1.0625626,-104.2895,117,1
-0.98212576,-55.8112,180,0.8234599,-101.3250,116,1
-0.9251336,-55.8112,180,-0.49598336,-101.3250,116,1
-0.044282436,-55.9706,181,0.2328018,-100.4869,115,1
0.3932475,-55.9706,181,0.19071262,-100.4869,115,1
1.1598713,-51.7951,182,1.2864066,-95.8559,109,1
-0.8099829,-51.7951,182,0.09353352,-95.8559,109,1
-0.11310196,-52.2022,183,0.74075013,-93.1892,107,1
-1.6604784,-52.2022,183,0.82557046,-93.1892,107,1
-0.51118076,-54.0425,184,0.784887,-90.3636,105,1
0.10674596,-54.0425,184,1.6657662,-90.3636,105,1
0.32270765,-52.8807,185,-0.554566,-92.3600,106,1
-0.2136606,-53.6499,186,-1.0284956,-96.0626,110,1
0.4403168,-53.6499,186,1.4049027,-96.0626,110,1
1.2661338,-49.0918,187,-0.21489407,-96.8362,109,1
1.2596337,-49.0918,187,0.14523873,-96.8362,109,1
0.98902047,-45.5313,188,0.33771124,-95.6205,106,1
0.02731204,-45.5313,188,-1.1950632,-95.6205,106,1
-0.4749391,-47.2411,189,-1.2511419,-100.1246,111,1
0.31738687,-47.2411,189,-2.303408,-100.1246,111,1
-1.6546915,-53.1980,190,-3.2661304,-111.8827,124,1
-0.42974627,-53.1980,190,-1.8931892,-111.8827,124,1
0.56358194,-51.1691,191,0.8718117,-108.7441,120,1
1.15641,-51.1691,191,0.62687135,-108.7441,120,1
-0.61852276,-53.3958,192,0.90822554,-105.4745,118,1
-0.7297338,-56.0228,193,-0.7817656,-108.2889,122,1
-0.88331246,-56.0228,193,1.4584394,-108.2889,122,1
-0.5287088,-57.9262,194,-0.9409322,-111.6762,126,1
-1.3360186,-57.9262,194,0.06496136,-111.6762,126,1
-0.20589435,-58.6674,195,0.63660365,-109.3845,124,1
0.14685583,-58.6674,195,-0.7340609,-109.3845,124,1
0.36994755,-57.3356,196,-0.30956697,-110.4989,124,1
0.6971495,-57.3356,196,0.6586728,-110.4989,124,1
1.1454903,-53.2118,197,0.21933681,-109.7093,122,1
0.29991055,-53.2118,197,1.5577639,-109.7093,122,1
-0.082464814,-53.5087,198,-0.18008426,-110.3576,123,1
-0.044712424,-53.5087,198,-1.6678519,-110.3576,123,1
1.7594122,-47.1748,199,-1.685108,-116.4240,126,1
0.092050076,-46.8434,200,-0.011691608,-116.4661,126,1
1.8826735,-46.8434,200,0.07860329,-116.4661,126,1
1.5216635,-41.3655,201,-0.1833746,-117.1262,124,1
1.6875613,-41.3655,201,-0.11609118,-117.1262,124,1
-0.4942671,-43.1448,202,0.10956183,-116.7318,124,1
-0.6508386,-43.1448,202,-1.3209105,-116.7318,124,1
0.20901847,-42.3924,203,-1.2576344,-121.2593,128,1
0.36564136,-42.3924,203,-0.75138396,-121.2593,128,1
-0.05468917,-42.5892,204,-1.5917706,-126.9897,134,1
-0.3274474,-42.5892,204,-0.6322697,-126.9897,134,1
0.38763595,-41.1937,205,-0.30545896,-128.0893,135,1
0.487247,-41.1937,205,0.33181232,-128.0893,135,1
-0.3055036,-42.2936,206,1.4946508,-122.7086,130,1
0.8692405,-39.1643,207,1.2375785,-118.2533,125,1
-0.311404,-39.1643,207,0.83676624,-118.2533,125,1
1.1767435,-34.9280,208,-0.15694954,-118.8183,124,1
0.296224,-34.9280,208,0.3719053,-118.8183,124,1
0.9724444,-31.4272,209,0.057860136,-118.6100,123,1
0.13986897,-31.4272,209,-0.7302731,-118.6100,123,1
0.66740215,-29.0246,210,-0.89783835,-121.8422,125,1
-0.03850901,-29.0246,210,-1.6865258,-121.8422,125,1
0.5375329,-27.0895,211,-1.9117049,-128.7244,132,1
1.1931401,-27.0895,211,-1.3956324,-128.7244,132,1
-0.750358,-29.7907,212,-1.9065415,-135.5879,139,1
1.1467693,-25.6624,213,-1.0545961,-139.3845,142,1
-0.08390427,-25.6624,213,-0.2696737,-139.3845,142,1
-0.34435678,-26.9021,214,0.5487143,-137.4091,140,1
0.1826247,-26.9021,214,0.5081798,-137.4091,140,1
0.68215156,-24.4463,215,1.6600075,-131.4331,134,1
-0.28159022,-24.4463,215,0.5435965,-131.4331,134,1
0.92812514,-21.1051,216,1.9925253,-124.2600,126,1
0.31920683,-21.1051,216,-0.19310755,-124.2600,126,1
0.01933527,-21.0355,217,-0.3657264,-125.5766,127,1
-1.0480895,-21.0355,217,-1.2623028,-125.5766,127,1
-0.0767591,-21.3118,218,-0.95922285,-129.0298,131,1
-0.52400184,-21.3118,218,-0.12902713,-129.0298,131,1
-1.345038,-26.1539,219,-0.21489197,-129.8034,132,1
0.0426147,-26.0005,220,0.5986534,-127.6482,130,1
0.089293,-26.0005,220,1.2517705,-127.6482,130,1
-1.602249,-31.7686,221,-0.079269886,-127.9336,132,1
-1.3326833,-31.7686,221,-1.011318,-127.9336,132,1
-2.983474,-42.5091,222,-3.0172644,-138.7958,145,1
0.30556393,-42.5091,222,-0.28872913,-138.7958,145,1
-0.51403975,-44.3597,223,-0.7395536,-141.4582,148,1
0.38850617,-44.3597,223,-0.11571187,-141.4582,148,1
1.713505,-38.1910,224,-0.028141081,-141.5595,147,1
1.3556476,-38.1910,224,1.2805146,-141.5595,147,1
-0.9338046,-41.5527,225,0.029154837,-141.4545,147,1
1.1206319,-41.5527,225,1.0714419,-141.4545,147,1
0.6608403,-39.1737,226,-0.6651218,-143.8489,149,1
-0.011338949,-39.2145,227,-0.684665,-146.3137,151,1
0.32004356,-39.2145,227,-0.26169434,-146.3137,151,1
0.60532546,-37.0354,228,-1.28051,-150.9236,155,1
-0.428015,-37.0354,228,-2.0149198,-150.9236,155,1
-0.25736928,-37.9619,229,-1.2094213,-155.2775,160,1
-0.20129752,-37.9619,229,-1.7067463,-155.2775,160,1
0.38708067,-36.5684,230,-2.1185508,-162.9043,167,1
0.5166975,-36.5684,230,0.5328063,-162.9043,167,1
0.55898356,-34.5561,231,0.42357558,-161.3794,165,1
-0.039466262,-34.5561,231,0.7569465,-161.3794,165,1
-0.33746028,-35.7709,232,0.38355246,-159.9986,164,1
0.06344211,-35.7709,232,0.1925526,-159.9986,164,1
-0.49068975,-37.5374,233,-1.0462071,-163.7650,168,1
0.73451746,-34.8931,234,-2.0799248,-171.2527,175,1
1.3216064,-34.8931,234,-0.1506557,-171.2527,175,1
0.59600735,-32.7475,235,-0.44267982,-172.8463,176,1
0.90113163,-32.7475,235,0.565469,-172.8463,176,1
0.38802743,-31.3506,236,-0.41407514,-174.3370,177,1
0.18603921,-31.3506,236,0.35526097,-174.3370,177,1
-0.36305606,-32.6576,237,0.2895689,-173.2946,176,1
0.034107685,-32.6576,237,-0.95560366,-173.2946,176,1
-0.34906828,-33.9143,238,-0.35589623,-174.5758,178,1
0.28119552,-33.9143,238,0.2052249,-174.5758,178,1
-0.18902373,-34.5947,239,-1.0022085,-178.1837,182,1
0.17412496,-33.9679,240,0.13166136,-177.7098,181,1
0.57449794,-33.9679,240,-0.25434473,-177.7098,181,1
1.2540033,-29.4535,241,0.59898734,-175.5534,178,1
1.4042923,-29.4535,241,0.011433676,-175.5534,178,1
0.84982204,-26.3941,242,-0.669954,-177.9652,180,1
-0.22966409,-26.3941,242,1.3268777,-177.9652,180,1
